장르,노래제목,가수
트로트,하나뿐인 내 편,김동현
트로트,인생 꽃,청아
트로트,꽃바람 인생,조용숙
트로트,내 마음 직진,최병윤
트로트,각시와 신랑 (Cover Ver.),박인범
트로트,청풍연가 (Cover Ver.),노현규
트로트,휘리릭,유쾌한
트로트,둥글둥글,장진
트로트,떠나버린여인,완박
트로트,사랑만 남기고 가자,유정원
트로트,아내의 뒷모습,조찬구
트로트,사랑이 비를 맞아요,배금성
트로트,고맙소,황우림
트로트,이런 노래,박도해
트로트,그리운고향,이영민
트로트,휴게소에서,팔룡 (8Dragon)
트로트,볼매 내 사랑,최은성
트로트,후반전,수근
트로트,고향설 (Cover Ver.),손정우
트로트,추풍령 (Cover Ver.),이수환
트로트,공항의 이별 (Cover Ver.),김옥자
트로트,내 어머니,김수열
트로트,내 사랑은,김동현
트로트,내 고향 산천,이민하
블루스,사랑하는 사람,사랑
블루스,There is Fire,손고운
블루스,예쁜 우리 아기 (Feat. 김리안),안영수
블루스,니 속도 모르고,어영부영호영
블루스,이게 사랑인 거잖아,정해일
블루스,물망초(Forget me not),송미애
블루스,Remember,서영
블루스,우쿠우쿠렐레,바이디
블루스,여름방학,성해빈
블루스,춘천와요송,"이시원, 이지원"
블루스,거북이와 플라스틱,The Lucy
블루스,젊은그대여,제이투 (JTWO)
블루스,Lucky Wish,리나킴 (Rina Kim)
블루스,도래,김혼
블루스,히히,헤이딜런
블루스,설렘의 시작,재혁
블루스,노래를 하고 싶어,미루
블루스,각별한 마음 (Feat. Ram (람)),우아이에오
블루스,반짝이는 저 너머에 우린 도착할 거야,하뭉 (Hamooong)
블루스,낙법,김영소영
블루스,"석촌호수(with. 예람, 천용성)",이권형
블루스,와산리 로타리,낭만유랑악단
블루스,바닷가 호텔,태윤 (TAEYOON)
블루스,사랑일 거야 (Feat. 서예),한울 (Hanul)
블루스,그저 흔한,전도을
블루스,꽃받침 얼음!,박진한
블루스,Festival,은종
블루스,소풍,이도훈
블루스,대기만성 41,노하 老河
블루스,그대 사랑 앞에 다시 선 나 (2022 Re:born),박창근
블루스,열대야,여동생
블루스,비 그치면,파인맨
블루스,사랑의 달님,임탁
블루스,우리의 계절,이롬
블루스,Perfect Tonight,Carson (칼슨)
블루스,어린 왕자가 떠난 별의 꽃,도담담
블루스,도심산책 (feat. 다정),김목인
블루스,독기,ODD-CAT (오드캣)
